org_name	org_abbr	tax_ID
Absidia idahoensis var. thermophila	Absi_idah_var_thermophila	572092: Eukaryota; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia. 
Agaricus bisporus var. bisporus H97	Agar_bisp_var_bisporus_H97	936046: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Agaricaceae; 
Agaricus bisporus var. burnettii JB137-S8 JB137-s8	Agar_bisp_var_burnettii_JB137_S8_JB137_s8	597362: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Agaricaceae; 
Allomyces macrogynus ATCC 38327	Allo_macr_ATCC_38327	578462: Eukaryota; Fungi; Blastocladiomycota; Blastocladiomycetes; Blastocladiales; Blastocladiaceae; Allomyces. 
Amanita jacksonii TRTC168611	Aman_jack_TRTC168611	1417757: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Amanitaceae; Amanita. 
Anncaliia algerae PRA109	Annc_alge_PRA109	1240240: Eukaryota; Fungi; Microsporidia; Tubulinosematidae; Anncaliia. 
Anncaliia algerae PRA339	Annc_alge_PRA339	1288291: Eukaryota; Fungi; Microsporidia; Tubulinosematidae; Anncaliia. 
Arthroderma benhamiae CBS 112371	Arth_benh_CBS_112371	663331: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Arthrodermataceae; 
Arthroderma otae CBS 113480	Arth_otae_CBS_113480	554155: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Arthrodermataceae; 
Ascosphaera apis ARSEF 7405 USDA-ARSEF 7405	Asco_apis_ARSEF_7405_USDA_ARSEF_7405	392613: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ascosphaeraceae; 
Ascocoryne sarcoides NRRL 50072	Asco_sarc_NRRL_50072	1016881: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Ascocoryne. 
Eremothecium gossypii ATCC 10895	Ashb_goss_ATCC_10895	284811: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; 
Aspergillus clavatus NRRL 1	Aspe_clav_NRRL_1	344612: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus flavus NRRL3357	Aspe_flav_NRRL3357	332952: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus fumigatus A1163	Aspe_fumi_A1163	451804: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus fumigatus Af293	Aspe_fumi_Af293	330879: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus kawachii IFO 4308 IFO4308	Aspe_kawa_IFO_4308_IFO4308	1033177: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus nidulans FGSC A4	Aspe_nidu_FGSC_A4	227321: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus niger CBS 513.88	Aspe_nige_CBS_513_88	425011: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus niger SH-2	Aspe_nige_SH_2	1316740: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus oryzae RIB40	Aspe_oryz_RIB40	510516: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus ruber CBS 135680	Aspe_rube_CBS_135680	1388766: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus sojae NBRC 4239	Aspe_soja_NBRC_4239	927772: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Aspergillus terreus NIH2624	Aspe_terr_NIH2624	341663: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; 
Batrachochytrium dendrobatidis JAM81	Batr_dend_JAM81	684364: Eukaryota; Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiales incertae sedis; Batrachochytrium. 
Batrachochytrium dendrobatidis JEL423	Batr_dend_JEL423	403673: Eukaryota; Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiales incertae sedis; Batrachochytrium. 
