orf	UNIPROT	GENENAME	SGD	OG	HAS_ORTHOLOG	len_ref	len_msa.yk11	n_snp	f_snp	len_msa.fungi	pid.fungi	n_species	f_species	n_matched.fungi	n_mismatched.fungi	n_indel.fungi	f_matched.fungi	f_indel.fungi	r4s.fungi	iq_cat.fungi	leisr_up.fungi	leisr_global.fungi	leisr_local.fungi	n_strains	f_strains	n_matched.yk11	n_indel.yk11	f_matched.yk11	f_mismatched.yk11	f_indel.yk11	r4s.yk11	leisr_up.yk11	leisr_global.yk11	leisr_local.yk11
YAL001C	P34111	TFC3	S000000001	3RTYR	TRUE	1160	1160	204	0.17586206896551723	2539	0.05086206896551726	14	1	52	1101	209	0.04482758620689655	0.18017241379310345	1.7903372413793104	2.55	410.03694358497336	-24.29569813426829	-22.616522632751092	1012	1	956	0	0.8241379310344827	0.17586206896551723	0	0.12393957413793104	4.527511867013253	-10.407501201401134	-7.707696213627189
YAL002W	P39702	VPS8	S000000002	3RT7J	TRUE	1274	1274	238	0.18681318681318682	2167	0.031397174254317095	14	1	33	1234	443	0.025902668759811617	0.347723704866562	2.0209321821036106	2.816326530612245	272.49167776568555	-24.839710227739648	-23.35530348010208	1012	1	1036	0	0.8131868131868132	0.18681318681318682	0	0.0955823147566719	4.69923025302459	-9.782600832566734	-7.863518509491543
YAL005C	P10591	SSA1	S000000004	3RRJK	TRUE	642	642	36	0.056074766355140186	841	0.691588785046729	14	1	437	198	34	0.6806853582554517	0.0529595015576324	0.28640753894080995	1.8364485981308412	21.732949270102345	-7.330760662210431	-6.172099925321247	1012	1	606	0	0.9439252336448598	0.056074766355140186	0	0.025854732087227415	15.654859614344938	-4.218920840506907	-3.657472680323808
YAL007C	P39704	ERP2	S000000005	3RTJJ	TRUE	215	215	34	0.15813953488372093	270	0.15348837209302324	14	1	19	182	93	0.08837209302325581	0.4325581395348837	1.0601902325581396	2.488372093023256	5.184147224300754	-16.915831940494165	-15.338940856222479	1012	1	181	0	0.8418604651162791	0.15813953488372093	0	0.11718323720930232	3.5002398661708845	-11.892578428961638	-8.283844813019062
YAL008W	P18411	FUN14	S000000006	NA	TRUE	198	198	36	0.18181818181818182	279	0.07070707070707072	14	1	13	184	70	0.06565656565656566	0.35353535353535354	2.0018646464646466	2.393939393939394	410.0833336560139	-23.078811335954725	-21.236881617241306	1009	0.9970355731225297	162	198	0.8181818181818182	0.18181818181818182	1	0.287138005050505	3.5266323018821737	-17.77889604461144	-11.98525506161999
YAL009W	P18410	SPO7	S000000007	3RSEQ	TRUE	259	259	41	0.1583011583011583	615	0.20849420849420852	14	1	54	205	18	0.2084942084942085	0.0694980694980695	1.1046285714285715	2.1776061776061777	120.4891649536798	-17.919575879541423	-15.734121537978545	1012	1	218	0	0.8416988416988417	0.1583011583011583	0	0.10021878764478764	5.026959557418342	-8.46765139034452	-6.427906891888688
YAL010C	P18409	MDM10	S000000008	3RSCA	TRUE	493	493	73	0.14807302231237324	628	0.14401622718052742	14	1	59	422	146	0.11967545638945233	0.2961460446247465	1.4314026369168358	2.002028397565923	593.2138337466953	-19.209421838494332	-17.02224044517928	1012	1	420	0	0.8519269776876268	0.14807302231237324	0	0.16119673630831644	4.0577328247782605	-12.011053977064698	-8.647444432642708
YAL012W	P31373	CYS3	S000000010	3RRK0	TRUE	394	394	38	0.09644670050761421	441	0.4949238578680203	14	1	67	199	248	0.1700507614213198	0.6294416243654822	0.5231789086294416	2.1091370558375635	5.114250147147903	-10.003750810163599	-8.563220258866549	1012	1	356	0	0.9035532994923858	0.09644670050761421	0	0.031874812182741116	11.399001457285813	-4.877415525975607	-4.212340271326435
YAL013W	P31385	DEP1	S000000011	3RUY4	TRUE	420	NA	NA	NA	812	0.12857142857142856	14	1	25	366	160	0.05952380952380952	0.38095238095238093	1.7399590238095237	2.395238095238095	698.6292421570502	-21.599462453703456	-19.309231062844507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL014C	P31377	SYN8	S000000012	3RUKP	TRUE	255	255	64	0.25098039215686274	418	0.02352941176470591	14	1	1	249	154	0.00392156862745098	0.6039215686274509	2.0025039215686276	2.4	905.9851509996894	-24.244378780597216	-22.331567602344116	1012	1	191	0	0.7490196078431373	0.25098039215686274	0	NA	2.6955276660076346	-23.120510692217405	-16.971630326331557
