id	len_ref	len_msa	n_strains	f_strains	n_matched	n_mismatched	n_indel	f_matched	f_mismatched	f_indel	r4s	iq	iq_ml	iq_cat	iq_hi	leisr_mle	leisr_low	leisr_up	leisr_global	leisr_local
YAL001C	1160	1160	1012	1	956	204	0	0.8241379310344827	0.17586206896551723	0	0.12393957413793104	2.9217710603448275	0.9995470344827586	2.1198275862068967	0.9294135775862069	7.335040817504477	4.246254281970814	4.527511867013253	-10.407501201401134	-7.707696213627189
YAL002W	1274	1274	1012	1	1036	238	0	0.8131868131868132	0.18681318681318682	0	0.0955823147566719	4.505229882260597	1.0008029199372057	1.3838304552590266	0.9221218288854003	5.744625234545619	2.6074668066717512	4.69923025302459	-9.782600832566734	-7.863518509491543
YAL003W	206	206	1012	1	183	23	0	0.8883495145631068	0.11165048543689321	0	0.019084033980582525	1.214376650485437	0.9989644174757282	1.5825242718446602	0.6719697572815534	8.910618114153559	0.7950902006220355	19.534969291627952	-3.8320480630716345	-3.5525425715465735
YAL004W	215	215	1012	1	160	55	0	0.7441860465116279	0.2558139534883721	0	0.17951611627906977	6.91856334883721	1.0007873488372092	2.2465116279069766	0.9888493023255814	4.61232232564478	2.4202679897541697	3.124329873611023	-15.472622945953987	-11.526754435274519
YAL005C	642	642	1012	1	606	36	0	0.9439252336448598	0.056074766355140186	0	0.025854732087227415	1.5543833333333332	0.999400046728972	1.1121495327102804	0.780190062305296	23.21063131907325	8.481356498893277	15.654859614344938	-4.218920840506907	-3.657472680323808
YAL007C	215	215	1012	1	181	34	0	0.8418604651162791	0.15813953488372093	0	0.11718323720930232	1.4521798604651162	0.9998233953488372	1.186046511627907	0.8007306511627907	6.951406709141637	4.3644924721693235	3.5002398661708845	-11.892578428961638	-8.283844813019062
YAL008W	198	198	1009	0.9970355731225297	162	36	198	0.8181818181818182	0.18181818181818182	1	0.287138005050505	2.948144797979798	0.996599898989899	1.3737373737373737	0.6545159595959595	9.088010574557138	6.138197868163112	3.5266323018821737	-17.77889604461144	-11.98525506161999
YAL009W	259	259	1012	1	218	41	0	0.8416988416988417	0.1583011583011583	0	0.10021878764478764	1.6503608494208495	1.002245752895753	1.0656370656370657	0.8242663706563707	7.166118578262816	3.93509090818528	5.026959557418342	-8.46765139034452	-6.427906891888688
YAL010C	493	493	1012	1	420	73	0	0.8519269776876268	0.14807302231237324	0	0.16119673630831644	2.4529514604462475	0.997431845841785	2.050709939148073	0.8913696348884381	9.189791190564774	5.718648408975158	4.0577328247782605	-12.011053977064698	-8.647444432642708
YAL011W	625	625	1012	1	489	136	0	0.7824	0.2176	0	0.1424019152	2.532136624	0.99751776	1.1504	0.83920184	5.4142475617679775	3.076860426731404	3.561089541378429	-13.553029692652588	-10.253652469031115
YAL012W	394	394	1012	1	356	38	0	0.9035532994923858	0.09644670050761421	0	0.031874812182741116	1.9558376649746194	0.997909923857868	1.266497461928934	0.7164957614213198	11.401173494475794	3.614184644292181	11.399001457285813	-4.877415525975607	-4.212340271326435
YAL013W	405	405	1012	1	320	85	0	0.7901234567901234	0.20987654320987653	0	0.17586386666666667	3.3914765185185187	1.0005299012345679	1.2839506172839505	0.9299201234567901	6.535082768767069	3.515469999496067	4.027192087394329	-13.427047157270302	-10.490942175221646
YAL014C	255	255	1012	1	191	64	0	0.7490196078431373	0.25098039215686274	0	NA	3.9426710588235294	1.000219568627451	1.5568627450980392	0.8775683137254903	4.860132504454462	3.1600206550252845	2.6955276660076346	-23.120510692217405	-16.971630326331557
YAL015C	399	399	1012	1	322	77	0	0.8070175438596491	0.19298245614035087	0	0.17828378696741853	5.542138370927319	1.0015287719298245	1.2155388471177946	0.8209423308270677	8.061883319593491	4.5756010877887405	4.755053405417647	-11.709080884324186	-8.880788126157675
YAL016C-A	104	104	889	0.8784584980237155	78	26	104	0.75	0.25	1	0.2529091442307692	2.6563283653846153	0.9990841346153846	1.4423076923076923	0.7300547115384616	6.063075873614576	3.4338090397453804	3.7932715845216536	-14.344733185264545	-10.495107719938016
YAL016C-B	61	61	1011	0.9990118577075099	39	22	61	0.639344262295082	0.36065573770491804	1	0.4872957377049181	7.250366721311476	1.0005324590163935	1.6885245901639345	0.6334890163934427	3.5917729431594383	2.401605894209697	2.152162674371237	-29.90895219337958	-20.271407118718216
YAL016W	635	635	1012	1	556	79	0	0.8755905511811024	0.12440944881889764	0	0.06141329921259842	5.105021448818897	0.9992891811023622	1.2850393700787401	0.6385972283464567	8.617502876499858	3.5550995752733616	6.374928283244316	-7.298793499951229	-6.052840327899889
YAL017W	1356	1356	1012	1	1072	284	0	0.7905604719764012	0.20943952802359883	0	0.13727581932153393	4.349935213864307	0.9996483923303835	2.183628318584071	0.9399469469026549	6.128089288887387	3.1151834783392025	4.3142705559909915	-11.85602786322635	-9.42516669564474
YAL018C	325	325	1012	1	250	75	0	0.7692307692307693	0.23076923076923078	0	0.15477375076923078	1.9998544	1.0002112615384615	1.3476923076923077	0.6192499076923077	4.459648929121627	2.3582920095723874	3.478295054964701	-13.02821954639631	-9.85000677664376
YAL019W	1131	1131	1012	1	976	155	0	0.8629531388152077	0.13704686118479223	0	0.09553352961980548	3.0113667020335986	0.9989271441202475	1.1706454465075156	0.8714548717948718	8.026851382011515	4.118394272616261	5.330600100001527	-8.37542006641858	-6.511432544456548
YAL019W-A	189	189	134	0.1324110671936759	176	13	189	0.9312169312169312	0.06878306878306878	1	0.40953968253968254	2.2271514814814815	0.9993108994708995	1.0846560846560847	0.7498768783068782	31.689525962252397	15.058425064057273	10.988116901417966	-5.474572515466735	-4.289176825247086
YAL020C	333	333	1010	0.9980237154150198	258	75	333	0.7747747747747747	0.22522522522522523	1	0.21964267267267268	2.6262511111111113	0.9995865765765766	1.135135135135135	0.9014808408408409	4.882545185141608	2.962770530697082	2.9232645330482114	-16.96830912200085	-12.366759047112119
YAL021C	837	837	1012	1	723	114	0	0.8637992831541219	0.13620071684587814	0	0.10948495818399044	3.0023103823178015	1.0005702508960574	1.1600955794504182	0.9150121027479092	8.149207496195787	4.7990215530669555	4.161365434878591	-10.815432687913077	-7.934164736937557
YAL022C	517	517	1012	1	436	81	0	0.8433268858800773	0.15667311411992263	0	0.09760304642166344	5.248844003868472	1.0009757640232109	2.1760154738878144	0.9213735783365571	7.132095485481245	3.4509274012016453	4.9221886484985244	-9.426607831247606	-7.36793126172526
YAL023C	759	759	1012	1	668	91	0	0.8801054018445322	0.11989459815546773	0	0.057143855072463764	4.095531093544137	0.9997792885375494	1.2700922266139658	0.7594161133069829	9.168783395703556	4.193865577957776	6.021223027340404	-7.680360448082966	-6.203130770931693
YAL024C	1435	1435	1012	1	1190	245	0	0.8292682926829268	0.17073170731707318	0	0.1142676606271777	2.7745798536585364	0.9983764111498258	1.140766550522648	0.8701967108013937	6.674499714304975	3.783489428671754	4.270625054500446	-10.848456811071332	-8.3003216689634
YAL025C	306	306	1012	1	271	35	0	0.8856209150326797	0.11437908496732026	0	0.03367101960784314	1.0025418627450982	0.9999850653594772	1.3431372549019607	0.8950696405228759	9.596898564458687	2.815425670839558	11.271084235712824	-4.951399351360749	-4.34080501161469
YAL026C	1355	1355	1012	1	1191	164	0	0.8789667896678967	0.12103321033210332	0	0.07448930184501845	2.919954435424354	0.999571926199262	2.0789667896678967	0.9015472177121772	10.231312828037714	5.500642796607378	5.875222947171273	-8.294967128762199	-6.506177596216142
YAL026C-A	145	145	1003	0.991106719367589	99	46	145	0.6827586206896552	0.31724137931034485	1	0.36086055172413795	3.344982551724138	1.0037513103448277	1.3724137931034484	0.8312832413793103	6.0558882846522355	4.227134379789472	3.1984099637024963	-25.18418270543131	-17.18712441650591
YAL027W	261	261	1012	1	206	55	0	0.789272030651341	0.210727969348659	0	NA	2.2909031800766284	0.9980351724137931	2.1379310344827585	0.9555458620689655	5.036540132509954	3.24184350347237	2.5980936299581026	-17.356707118492576	-11.995191763181595
YAL028W	528	528	1012	1	402	126	0	0.7613636363636364	0.23863636363636365	0	0.18207043939393938	5.49108134469697	1.0001831628787878	1.2651515151515151	0.8653305303030303	4.648714814626842	2.5413529352149022	3.176991417788382	-15.812711016987825	-12.357580880407486
YAL029C	1471	1471	1012	1	1167	304	0	0.7933378653976887	0.20666213460231136	0	0.1344251835486064	2.9643775050985726	0.9996173079537729	1.1665533650577837	0.9006620054384773	5.784842689163446	3.2245685586323067	3.839348713739022	-12.7398233767234	-9.813265522223695
YAL030W	117	117	1012	1	105	12	0	0.8974358974358975	0.10256410256410256	0	0.032049615384615385	1.1381782905982907	1.0000013675213675	2.076923076923077	0.9617607692307693	11.611649149830006	3.230575406106836	13.502687131470779	-4.370842558517712	-3.808301537069891
YAL031C	760	760	1012	1	590	170	0	0.7763157894736842	0.2236842105263158	0	NA	2.8317136315789475	1.0013297894736841	1.168421052631579	0.8576313289473684	5.769239598868838	3.2607210104986604	4.064826936134023	-12.692714291495195	-9.850726279954635
YAL031W-A	102	102	142	0.14031620553359683	94	8	102	0.9215686274509803	0.0784313725490196	1	0.2479412745098039	1.700920980392157	1.003153725490196	1.0294117647058822	0.7740400000000001	18.718272313735778	8.56202662238395	9.258352149325113	-5.042509597262016	-3.8593048591032124
YAL032C	379	379	1012	1	307	72	0	0.8100263852242744	0.18997361477572558	0	0.13737119525065963	1.7864178627968337	0.9998493403693931	1.1345646437994723	0.9007193931398416	5.682544611678505	3.232411685812075	3.699792611555524	-11.402361574237762	-8.392834486246187
YAL033W	173	173	1012	1	138	35	0	0.7976878612716763	0.2023121387283237	0	0.05339915606936416	0.9230784971098266	1.000370867052023	3.1502890173410405	1.0916345664739884	4.572991492151023	1.2678560874233553	5.963401106015902	-6.807626169032015	-5.8906612293522835
YAL034C	413	413	1012	1	311	102	0	0.7530266343825666	0.2469733656174334	0	0.11521767312348669	2.556320871670702	0.9994976271186441	1.1549636803874093	0.9049447457627119	4.568213333942011	1.9950731890046485	4.21315837445101	-11.49347388043202	-9.323362182233378
YAL034C-B	117	117	1009	0.9970355731225297	89	28	117	0.7606837606837606	0.23931623931623933	1	0.17434806837606837	5.1149784615384615	1.0040525641025642	1.4615384615384615	0.8253646153846154	6.338990294115858	3.7935611974705123	3.494282103167881	-15.613695023696145	-10.759591365308053
YAL034W-A	289	289	1011	0.9990118577075099	233	56	289	0.8062283737024222	0.19377162629757785	1	0.1136442491349481	3.0047378892733563	1.0016231487889273	1.3771626297577855	0.9620151211072665	5.6975040355065	3.179765899196156	3.621844885958739	-11.834447901767934	-8.771590678468932
YAL035W	1002	1002	1009	0.9970355731225297	885	117	1002	0.8832335329341318	0.11676646706586827	1	0.087515375249501	4.425906556886227	0.9999698902195608	2.122754491017964	0.8346926646706587	10.325188472358786	5.441862287717331	5.805582247066166	-7.863048851981383	-6.045380833469441
YAL036C	369	369	1001	0.9891304347826086	349	20	369	0.94579945799458	0.05420054200542006	1	0.015809642276422765	1.1184145257452573	0.9999941463414634	1.10840108401084	0.8858841734417344	18.307253552337727	3.949711399744045	23.237355404302132	-3.741120063610462	-3.403768689729982
YAL037C-A	30	30	1000	0.9881422924901185	17	13	30	0.5666666666666667	0.43333333333333335	1	0.47619866666666666	1.2032726666666667	0.999997	2	0.99159	3.2038336270013725	2.048020223079798	2.6238566734845623	-31.06940778469947	-22.9657129594711
YAL037C-B	324	324	1012	1	265	59	0	0.8179012345679012	0.18209876543209877	0	0.10144090432098765	4.55275450617284	1.0046887962962963	1.4166666666666667	0.8157891666666667	7.97349368091151	3.8775435841433374	4.744398756650552	-9.856684851575432	-7.501189842164214
