id	len_ref	len_msa	n_species	f_species	n_matched	n_mismatched	n_indel	f_matched	f_mismatched	f_indel	r4s	iq	iq_ml	iq_cat	iq_hi	leisr_mle	leisr_low	leisr_up	leisr_global	leisr_local
YAL001C	1160	2539	14	1	52	1101	209	0.04482758620689655	0.9491379310344827	0.18017241379310345	1.7903372413793104	2.182612801724138	0.9405469655172414	2.55	0.9009195344827586	19.13433753186841	0.543638631379677	410.03694358497336	-24.29569813426829	-22.616522632751092
YAL002W	1274	2167	14	1	33	1234	443	0.025902668759811617	0.9686028257456829	0.347723704866562	2.0209321821036106	2.0883857849293563	0.9825399058084773	2.816326530612245	0.9656059733124019	17.49359667372376	0.524859040014948	272.49167776568555	-24.839710227739648	-23.35530348010208
YAL005C	642	841	14	1	437	198	34	0.6806853582554517	0.308411214953271	0.0529595015576324	0.28640753894080995	11.205259626168225	0.9754770093457944	1.8364485981308412	0.9948652024922119	1.3734323469191978	0.33468185247060184	21.732949270102345	-7.330760662210431	-6.172099925321247
YAL007C	215	270	14	1	19	182	93	0.08837209302325581	0.8465116279069768	0.4325581395348837	1.0601902325581396	1.8819279069767443	0.9585980465116279	2.488372093023256	0.9098733488372093	1.5056623530838926	0.44158709971680454	5.184147224300754	-16.915831940494165	-15.338940856222479
YAL008W	198	279	14	1	13	184	70	0.06565656565656566	0.9292929292929293	0.35353535353535354	2.0018646464646466	2.392369191919192	0.887369393939394	2.393939393939394	0.8412331818181819	52.403195020064615	0.5722695053156691	410.0833336560139	-23.078811335954725	-21.236881617241306
YAL009W	259	615	14	1	54	205	18	0.2084942084942085	0.7915057915057915	0.0694980694980695	1.1046285714285715	1.4979200386100386	0.5875612355212355	2.1776061776061777	0.575703861003861	1.6116766933596856	0.39857091447713905	120.4891649536798	-17.919575879541423	-15.734121537978545
YAL010C	493	628	14	1	59	422	146	0.11967545638945233	0.8559837728194726	0.2961460446247465	1.4314026369168358	6.227738275862069	0.9411348073022312	2.002028397565923	0.9309869574036511	16.365337432215277	0.6530734817281045	593.2138337466953	-19.209421838494332	-17.02224044517928
YAL012W	394	441	14	1	67	199	248	0.1700507614213198	0.5050761421319797	0.6294416243654822	0.5231789086294416	16.013101446700507	0.9813767512690356	2.1091370558375635	0.9309738071065989	1.3657550186316325	0.37304322579142224	5.114250147147903	-10.003750810163599	-8.563220258866549
YAL013W	420	812	14	1	25	366	160	0.05952380952380952	0.8714285714285714	0.38095238095238093	1.7399590238095237	1.950599119047619	0.7010805476190476	2.395238095238095	0.6789205952380952	14.198571721920409	0.48537105173079154	698.6292421570502	-21.599462453703456	-19.309231062844507
YAL014C	255	418	14	1	1	249	154	0.00392156862745098	0.9764705882352941	0.6039215686274509	2.0025039215686276	1.418056274509804	0.8925987450980392	2.4	0.8757534117647059	80.4884656356498	0.5374307537116797	905.9851509996894	-24.244378780597216	-22.331567602344116
